timestamp,league,sport,event_date,event_time,source,home_team,away_team,market,side,odds,line,line_num,total,total_num,bets_pct,bets_pct_num,handle_pct,handle_pct_num,ticket#,$ bet,image_id,filename,notes
,,,,,,IO BETMGM NFL WEEK,DETROITLIONS 45 72 59,TOTAL,OVER,-3850,,,2.0,2.0,6.0,6.0,41.0,41.0,,,3b34888a54cd31f2,GOOD IMAGES FOR V12/IMG_9455 2.JPG,
,,,,,,,,TOTAL,OVER,1250,,,12.0,12.0,66.0,66.0,62.0,62.0,,,71368a3566f516dd,GOOD IMAGES FOR V12/IMG_9456 2.PNG,
,,,,,,,,TOTAL,OVER,1050,,,10.0,10.0,67.0,67.0,91.0,91.0,,,e6b54d4a06d86e35,GOOD IMAGES FOR V12/IMG_9457 2.PNG,
,,,,,,,,TOTAL,OVER,-2000,,,1.0,1.0,78.0,78.0,45.0,45.0,,,aef223722ca5b5a4,GOOD IMAGES FOR V12/IMG_9458 2.JPG,
,,,,,,,,TOTAL,OVER,2650,,,2.0,2.0,28.0,28.0,14.0,14.0,,,2106cbb0704d8ce1,GOOD IMAGES FOR V12/IMG_9459 2.JPG,
,,,,,,CA SPORTS BETTING SPLITS,LAS VEGAS RAIDERS 35,SPREAD,HOME,-1530,15.0,15.0,,,33.0,33.0,61.0,61.0,,,57cba7138e8b2295,GOOD IMAGES FOR V12/IMG_9460 2.JPG,candidate
,,,,,,BRACCO BETTING SPLITS EXPANDED,LAS VEGAS RAIDERS 43,SPREAD,HOME,1320,15.0,15.0,,,51.0,51.0,45.0,45.0,,,a5b451cd0284552b,GOOD IMAGES FOR V12/IMG_9461 2.JPG,candidate
,,,,,,,,SPREAD,HOME,1200,15.0,15.0,,,31.0,31.0,62.0,62.0,,,8a313162400a2213,GOOD IMAGES FOR V12/IMG_9462 2.JPG,candidate
,,,,,,MLB TUESDAY SEP TOTAL,WASHINGTON NATIONALS -101 34,SPREAD,HOME,1290,9.0,9.0,,,32.0,32.0,26.0,26.0,,,181b9810e241d027,GOOD IMAGES FOR V12/IMG_9463 2.JPG,candidate
,,,,,,COCA ISONS BETTING SPLITS,WASHINGTON NATIONALS MIAMI MARLINS,SPREAD,HOME,-1170,9.0,9.0,,,95.0,95.0,50.0,50.0,,,bf3f3279fed905fe,GOOD IMAGES FOR V12/IMG_9464 2.JPG,candidate
,,,,,,BRACCO BETTING SPLITS MLB,WASHINGTON NATIONALS MIAMI MARLINS,SPREAD,HOME,1330,9.0,9.0,,,0.0,0.0,0.0,0.0,,,d62bcad2e30d2c8d,GOOD IMAGES FOR V12/IMG_9465 2.JPG,candidate
,,,,,,NFL MONDAY SEP 8&,WASHINGTON NATIONALS MIAMI MARLINS,SPREAD,HOME,1090,8.0,8.0,,,37.0,37.0,51.0,51.0,,,de933adff9b9ab9e,GOOD IMAGES FOR V12/IMG_9466 2.JPG,candidate
,,,,,,CA ISONS BETTING SPLITS,WASHINGTON NATIONALS MIAMI MARLINS,SPREAD,HOME,-1280,43.0,43.0,,,40.0,40.0,42.0,42.0,,,b2acdfaeb88b50df,GOOD IMAGES FOR V12/IMG_9467.JPG,candidate
,,,,,,SPORTSBOOK NEL SUNDAY SEP,PITTSBURGH STEELERS NEW YORK,TOTAL,OVER,-1550,,,7.0,7.0,8.0,8.0,66.0,66.0,,,554ddeb0e0538a6f,GOOD IMAGES FOR V12/IMG_9468 2.JPG,
,,,,,,MLB SUNDAY SEP SEATTLE,MILWAUKEE BREWERS PITTSBURGH PIRATES,SPREAD,HOME,-1060,7.0,7.0,,,61.0,61.0,57.0,57.0,,,b4e93861b2dac939,GOOD IMAGES FOR V12/IMG_9469 2.JPG,candidate
,,,,,,CEB SATURDAY SE SPREAD,FU 415 21 25,SPREAD,HOME,4150,41.0,41.0,,,21.0,21.0,25.0,25.0,,,694839817b1d5f6c,GOOD IMAGES FOR V12/IMG_9470 2.JPG,candidate
,,,,,,,UT MARTIN UTEP WEBER,SPREAD,HOME,3150,4.0,4.0,,,18.0,18.0,37.0,37.0,,,9bf341a74b48e0ce,GOOD IMAGES FOR V12/IMG_9471 2.JPG,candidate
,,,,,,ED SRRRSEO0X NFL FRIDAY,KANSAS CITY CHIEFS LOS,SPREAD,HOME,2750,5.0,5.0,,,64.0,64.0,64.0,64.0,,,e2600c6fff63f4b0,GOOD IMAGES FOR V12/IMG_9473 2.JPG,candidate
,,,,,,CRCA ISONS BETTING SPLITS,KANSAS CITY CHIEFS AS,SPREAD,HOME,-2100,5.0,5.0,,,57.0,57.0,54.0,54.0,,,040d0260deee32ae,GOOD IMAGES FOR V12/IMG_9474 2.JPG,candidate
,,,,,,,,SPREAD,HOME,3200,4.0,4.0,,,43.0,43.0,37.0,37.0,,,2739ba5f92ac64f6,GOOD IMAGES FOR V12/IMG_9475 2.JPG,candidate
,,,,,,SPORTSBOOK BETTING SPLITS MLB,WASHINGTON NATIONALS GM CHICAGO,SPREAD,HOME,-1020,16.0,16.0,,,78.0,78.0,76.0,76.0,,,52fb07e25653790d,GOOD IMAGES FOR V12/IMG_9478 2.JPG,candidate
,,,,,,CACA SPORTS BETTING SPLITS,WASHINGTON NATIONALS GM1 436,SPREAD,HOME,-1520,16.0,16.0,,,0.0,0.0,0.0,0.0,,,72d92eec91050f9e,GOOD IMAGES FOR V12/IMG_9479 2.JPG,candidate
